,ID,FLAG_OWN_CAR,FLAG_OWN_REALTY,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,AGE_YEARS,YEARS_EMPLOYED,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,GoodBorrower,Employed_period
67,5008881,0,1,1,1,34.00273973,4.857534247,1,10,4,1,5
68,5008882,0,1,1,1,34.00273973,4.857534247,1,10,4,1,5
69,5008884,0,1,4,4,55.30410959,-1000.665753,0,18,1,1,0
70,5008888,0,1,1,2,46.61917808,3.690410959,0,3,1,1,4
71,5008889,0,1,1,2,46.61917808,3.690410959,0,3,1,1,4
72,5008890,0,1,1,2,46.61917808,3.690410959,0,3,1,1,4
73,5112847,0,1,1,2,46.61917808,3.690410959,0,3,1,1,4
74,5008891,0,1,4,3,42.51780822,8.860273973,0,8,1,1,9
75,5008892,0,1,4,3,42.51780822,8.860273973,0,8,1,1,9
76,5008893,0,1,4,3,42.51780822,8.860273973,0,8,1,1,9
77,5008894,0,1,4,3,42.51780822,8.860273973,0,8,1,1,9
78,5008895,0,1,4,3,42.51780822,8.860273973,0,8,1,1,9
79,5008896,0,1,4,3,42.51780822,8.860273973,0,8,1,1,9
80,5008897,0,1,4,3,42.51780822,8.860273973,0,8,1,1,9
81,5008898,0,1,4,3,42.51780822,8.860273973,0,8,1,1,9
82,5008899,0,1,4,3,42.51780822,8.860273973,0,8,1,1,9
83,5008900,0,1,4,3,42.51780822,8.860273973,0,8,1,1,9
84,5008901,0,1,4,3,42.51780822,8.860273973,0,8,1,1,9
85,5008902,0,1,4,3,42.51780822,8.860273973,0,8,1,1,9
86,5008903,0,1,4,3,42.51780822,8.860273973,0,8,1,1,9
87,5008904,0,1,4,3,42.51780822,8.860273973,0,8,1,1,9
88,5008905,0,1,4,3,42.51780822,8.860273973,0,8,1,1,9
89,5008906,0,1,4,3,42.51780822,8.860273973,0,8,1,1,9
90,5008907,0,1,4,3,42.51780822,8.860273973,0,8,1,1,9
91,5008908,0,1,4,3,42.51780822,8.860273973,0,8,1,1,9
92,5008909,0,1,4,3,42.51780822,8.860273973,0,8,1,1,9
93,5008910,0,1,4,3,42.51780822,8.860273973,0,8,1,1,9
94,5008911,0,1,4,3,42.51780822,8.860273973,0,8,1,1,9
95,5008912,0,1,4,3,42.51780822,8.860273973,0,8,1,1,9
96,5008913,0,1,4,3,42.51780822,8.860273973,0,8,1,1,9
97,5008914,0,1,4,3,42.51780822,8.860273973,0,8,1,1,9
98,5008915,0,1,4,3,42.51780822,8.860273973,0,8,1,1,9
99,5008916,0,1,4,3,42.51780822,8.860273973,0,8,1,1,9
100,5008917,0,1,4,3,42.51780822,8.860273973,0,8,1,1,9
101,5008918,0,1,4,3,42.51780822,8.860273973,0,8,1,1,9
102,5008919,0,1,4,3,42.51780822,8.860273973,0,8,1,1,9
103,5008920,0,1,4,3,42.51780822,8.860273973,0,8,1,1,9
104,5008921,0,1,4,3,42.51780822,8.860273973,0,8,1,1,9
105,5008922,0,1,4,3,42.51780822,8.860273973,0,8,1,1,9
106,5008923,0,1,4,3,42.51780822,8.860273973,0,8,1,1,9
107,5008924,0,1,4,3,42.51780822,8.860273973,0,8,1,1,9
108,5008925,0,1,4,3,42.51780822,8.860273973,0,8,1,1,9
109,5008926,0,1,4,3,42.51780822,8.860273973,0,8,1,1,9
110,5008927,0,1,4,3,42.51780822,8.860273973,0,8,1,1,9
111,5008928,0,1,4,3,42.51780822,8.860273973,0,8,1,0,9
112,5008929,0,1,4,3,42.51780822,8.860273973,0,8,1,1,9
113,5008930,0,1,4,3,42.51780822,8.860273973,0,8,1,0,9
114,5008931,0,1,4,3,42.51780822,8.860273973,0,8,1,1,9
115,5008932,0,1,4,3,42.51780822,8.860273973,0,8,1,1,9
116,5008933,0,1,4,3,42.51780822,8.860273973,0,8,1,1,9
117,5008934,0,1,4,3,42.51780822,8.860273973,0,8,1,1,9
118,5008935,0,1,4,3,42.51780822,8.860273973,0,8,1,1,9
119,5008936,0,1,4,3,42.51780822,8.860273973,0,8,1,1,9
120,5008937,0,1,4,3,42.51780822,8.860273973,0,8,1,1,9
121,5008938,0,1,4,3,42.51780822,8.860273973,0,8,1,1,9
122,5008939,0,1,4,3,42.51780822,8.860273973,0,8,1,1,9
123,5008940,0,1,4,3,42.51780822,8.860273973,0,8,1,1,9
124,5008941,0,1,4,3,42.51780822,8.860273973,0,8,1,1,9
125,5008942,0,0,1,1,37.37534247,13.27671233,0,6,2,1,13
126,5008943,0,0,1,1,37.37534247,13.27671233,0,6,2,1,13
127,5008944,0,0,1,1,37.37534247,13.27671233,0,6,2,0,13
128,5008945,0,0,1,1,37.37534247,13.27671233,0,6,2,1,13
129,5008946,0,0,1,1,37.37534247,13.27671233,0,6,2,1,13
130,5008947,0,1,4,1,42.42191781,3.857534247,0,4,2,1,4
131,5008948,0,1,4,1,42.42191781,3.857534247,0,4,2,1,4
132,5008949,0,1,4,1,42.42191781,3.857534247,0,4,2,0,4
133,5008950,0,1,4,1,42.42191781,3.857534247,0,4,2,1,4
134,5008951,0,1,4,1,28.27671233,7.693150685,0,18,3,1,8
135,5008952,0,1,4,1,28.27671233,7.693150685,0,18,3,1,8
136,5008953,0,1,4,1,28.27671233,7.693150685,0,18,3,1,8
137,5008954,0,1,4,1,28.27671233,7.693150685,0,18,3,0,8
138,5008955,1,1,4,1,48.7260274,4.690410959,0,8,2,0,5
139,5008956,1,1,4,1,48.7260274,4.690410959,0,8,2,1,5
140,5008957,1,1,4,1,48.7260274,4.690410959,0,8,2,1,5
141,5008958,1,1,4,1,48.7260274,4.690410959,0,8,2,0,5
142,5008959,1,1,4,1,48.7260274,4.690410959,0,8,2,1,5
143,5008960,1,1,4,1,48.7260274,4.690410959,0,8,2,1,5
144,5008962,1,1,4,1,48.7260274,4.690410959,0,8,2,1,5
145,5008963,1,1,4,1,48.7260274,4.690410959,0,8,2,1,5
146,5008966,0,1,4,1,43.90958904,2.435616438,0,18,2,0,2
147,5008967,0,1,4,1,43.90958904,2.435616438,0,18,2,1,2
148,5008971,0,1,4,1,43.90958904,2.435616438,0,18,2,1,2
149,5008973,0,1,4,1,43.90958904,2.435616438,0,18,2,0,2
150,5008974,0,1,4,1,61.14794521,-1000.665753,0,18,2,1,0
151,5008975,0,1,4,1,61.14794521,-1000.665753,0,18,2,1,0
152,5008976,0,1,4,1,61.14794521,-1000.665753,0,18,2,0,0
153,5008977,0,1,4,1,61.14794521,-1000.665753,0,18,2,0,0
154,5008978,0,1,4,1,61.14794521,-1000.665753,0,18,2,1,0
155,5008979,0,1,4,1,61.14794521,-1000.665753,0,18,2,1,0
156,5008980,0,1,4,1,61.14794521,-1000.665753,0,18,2,1,0
157,5008981,1,1,4,1,57.1890411,6.523287671,0,4,2,1,7
158,5008983,1,1,4,1,57.1890411,6.523287671,0,4,2,1,7
159,5008984,1,1,4,1,57.1890411,6.523287671,0,4,2,1,7
160,5008986,1,1,4,1,57.1890411,6.523287671,0,4,2,1,7
161,5008987,1,1,4,1,57.1890411,6.523287671,0,4,2,1,7
162,5008988,1,1,4,1,57.1890411,6.523287671,0,4,2,1,7
163,5008991,1,1,4,2,45.43013699,3.271232877,0,1,1,1,3
164,5008992,1,1,4,2,45.43013699,3.271232877,0,1,1,1,3
165,5008993,1,1,4,2,45.43013699,3.271232877,0,1,1,0,3
166,5008994,1,1,4,2,45.43013699,3.271232877,0,1,1,0,3
167,5008995,1,1,4,2,45.43013699,3.271232877,0,1,1,1,3
168,5112861,1,1,4,2,45.43013699,3.271232877,0,1,1,0,3
169,5008998,1,1,1,1,29.11780822,2.268493151,1,10,2,1,2
170,5008999,1,1,1,1,29.11780822,2.268493151,1,10,2,1,2
171,5009000,1,1,4,1,27.19726027,2.268493151,0,4,2,1,2
172,5009001,0,1,4,1,51.85205479,17.19452055,0,8,2,1,17
173,5009002,0,1,4,1,51.85205479,17.19452055,0,8,2,1,17
174,5009005,0,1,4,1,51.85205479,17.19452055,0,8,2,1,17
175,5009006,0,1,4,1,51.85205479,17.19452055,0,8,2,1,17
176,5009007,0,1,4,1,51.85205479,17.19452055,0,8,2,1,17
177,5009008,0,1,4,1,51.85205479,17.19452055,0,8,2,1,17
178,5009009,0,1,4,1,51.85205479,17.19452055,0,8,2,1,17
179,5009010,0,1,4,1,51.85205479,17.19452055,0,8,2,1,17
180,5009012,0,1,4,1,51.85205479,17.19452055,0,8,2,1,17
181,5009014,0,1,4,1,51.85205479,17.19452055,0,8,2,1,17
182,5009016,0,1,1,1,42.31232877,8.526027397,1,18,4,1,9
183,5009018,0,1,1,1,42.31232877,8.526027397,1,18,4,1,9
184,5009019,0,1,1,1,42.31232877,8.526027397,1,18,4,0,9
185,5009020,0,1,1,1,42.31232877,8.526027397,1,18,4,1,9
186,5009022,0,1,1,1,42.31232877,8.526027397,1,18,4,1,9
187,5009023,0,1,1,1,42.31232877,8.526027397,1,18,4,1,9
188,5009024,0,1,1,1,42.31232877,8.526027397,1,18,4,1,9
189,5009025,0,1,1,1,42.31232877,8.526027397,1,18,4,1,9
190,5009027,1,1,4,1,54.41369863,29.70684932,1,8,2,1,30
191,5112862,1,1,4,1,54.41369863,29.70684932,1,8,2,1,30
192,5009028,1,1,4,1,39.5890411,7.608219178,0,8,2,1,8
193,5009029,1,1,4,1,39.5890411,7.608219178,0,8,2,1,8
194,5009031,0,1,4,3,28.91506849,3.271232877,0,0,1,1,3
195,5009032,0,1,4,3,28.91506849,3.271232877,0,0,1,1,3
196,5009033,0,0,2,0,51.18356164,-1000.665753,0,18,2,1,0
197,5009034,0,0,2,0,51.18356164,-1000.665753,0,18,2,1,0
198,5009035,0,0,2,0,51.18356164,-1000.665753,0,18,2,1,0
199,5009036,0,0,2,0,51.18356164,-1000.665753,0,18,2,1,0
200,5009037,0,0,2,0,51.18356164,-1000.665753,0,18,2,1,0
201,5009038,0,0,2,0,51.18356164,-1000.665753,0,18,2,1,0
202,5009039,0,1,4,3,39.24931507,1.520547945,0,3,3,1,2
203,5009040,0,1,4,3,39.24931507,1.520547945,0,3,3,1,2
204,5009042,0,1,1,1,48.33150685,2.435616438,0,3,2,1,2
205,5009043,0,1,1,1,48.33150685,2.435616438,0,3,2,1,2
206,5009044,0,1,1,1,48.33150685,2.435616438,0,3,2,1,2
207,5009045,0,1,1,1,48.33150685,2.435616438,0,3,2,1,2
208,5009046,0,1,1,1,48.33150685,2.435616438,0,3,2,1,2
209,5009047,0,1,1,1,48.33150685,2.435616438,0,3,2,0,2
210,5009050,0,1,1,1,30.12876712,6.271232877,1,3,4,1,6
211,5009051,0,1,1,1,30.12876712,6.271232877,1,3,4,1,6
212,5009052,0,1,1,1,30.12876712,6.271232877,1,3,4,1,6
213,5009053,0,1,1,1,30.12876712,6.271232877,1,3,4,1,6
214,5009055,0,1,1,1,30.12876712,6.271232877,1,3,4,1,6
215,5009056,0,1,4,3,24.27671233,2.435616438,0,4,1,1,2
216,5009057,0,1,4,3,24.27671233,2.435616438,0,4,1,0,2
217,5009058,1,1,4,3,20.51780822,2.183561644,1,12,1,0,2
218,5009060,0,1,1,1,61.18082192,-1000.665753,0,18,2,0,0
219,5009062,1,1,4,0,28.63013699,5.690410959,0,14,2,1,6
220,5009063,1,1,4,0,28.63013699,5.690410959,0,14,2,1,6
221,5009064,1,1,4,0,28.63013699,5.690410959,0,14,2,1,6
222,5009065,1,1,4,0,28.63013699,5.690410959,0,14,2,1,6
223,5009066,1,1,4,0,28.63013699,5.690410959,0,14,2,0,6
224,5009067,1,1,4,0,28.63013699,5.690410959,0,14,2,1,6
225,5009068,1,1,4,0,28.63013699,5.690410959,0,14,2,1,6
226,5009069,1,1,4,0,28.63013699,5.690410959,0,14,2,1,6
227,5009070,1,1,4,0,28.63013699,5.690410959,0,14,2,1,6
228,5009071,1,1,2,0,28.12054795,8.693150685,1,6,2,1,9
229,5009072,1,1,2,0,28.12054795,8.693150685,1,6,2,1,9
230,5009074,1,1,1,1,48.56438356,1.939726027,1,3,3,0,2
231,5009075,1,1,1,1,48.56438356,1.939726027,1,3,3,1,2
232,5009078,0,1,4,1,38.69041096,3.523287671,0,4,3,1,4
233,5009079,0,1,1,0,27.57260274,8.693150685,1,8,2,1,9
234,5009080,0,1,1,0,27.57260274,8.693150685,1,8,2,0,9
235,5009081,0,1,1,0,27.57260274,8.693150685,1,8,2,1,9
236,5009083,0,1,4,1,56.24931507,15.69863014,0,4,2,1,16
237,5009084,0,1,4,1,56.24931507,15.69863014,0,4,2,0,16
238,5009088,1,0,1,1,40.35616438,8.189041096,0,8,4,1,8
239,5009089,1,0,1,1,40.35616438,8.189041096,0,8,4,1,8
240,5009090,1,1,4,1,34.59726027,11.02739726,0,4,2,0,11
241,5009092,1,1,1,1,33.41643836,3.271232877,0,10,3,0,3
242,5009094,1,1,1,1,33.41643836,3.271232877,0,10,3,0,3
243,5009095,1,1,1,1,33.41643836,3.271232877,0,10,3,0,3
244,5009096,0,1,4,1,37.47671233,12.03013699,1,0,3,1,12
245,5009097,0,1,4,1,37.47671233,12.03013699,1,0,3,1,12
246,5009098,0,1,4,1,37.47671233,12.03013699,1,0,3,1,12
247,5009099,0,1,1,2,36.35890411,1.520547945,0,10,1,1,2
248,5009100,0,1,1,2,36.35890411,1.520547945,0,10,1,1,2
249,5009103,1,1,4,1,35.23013699,11.11232877,0,4,4,1,11
250,5009104,1,1,4,1,35.23013699,11.11232877,0,4,4,1,11
251,5009105,1,1,4,1,35.23013699,11.11232877,0,4,4,1,11
252,5009106,1,1,4,1,35.23013699,11.11232877,0,4,4,1,11
253,5112876,1,1,4,1,35.23013699,11.11232877,0,4,4,1,11
254,5009108,0,1,4,1,41.97534247,7.526027397,0,16,2,0,8
255,5009109,0,1,4,1,41.97534247,7.526027397,0,16,2,1,8
256,5009110,0,1,1,1,24.22465753,0.854794521,1,6,2,0,1
257,5009116,0,0,1,2,43.11506849,1.183561644,0,18,1,1,1
258,5009117,0,0,1,2,43.11506849,1.183561644,0,18,1,1,1
259,5009118,0,0,1,2,43.11506849,1.183561644,0,18,1,1,1
260,5009120,0,0,1,2,43.11506849,1.183561644,0,18,1,1,1
261,5009122,0,0,1,2,43.11506849,1.183561644,0,18,1,1,1
262,5009123,0,0,1,2,43.11506849,1.183561644,0,18,1,1,1
263,5009124,0,0,1,2,43.11506849,1.183561644,0,18,1,1,1
264,5009125,0,0,1,2,43.11506849,1.183561644,0,18,1,1,1
265,5009126,0,0,1,2,43.11506849,1.183561644,0,18,1,1,1
266,5009127,0,0,1,2,43.11506849,1.183561644,0,18,1,1,1
267,5009128,0,0,1,2,43.11506849,1.183561644,0,18,1,1,1
268,5009129,0,0,1,2,43.11506849,1.183561644,0,18,1,1,1
269,5009130,0,0,1,2,43.11506849,1.183561644,0,18,1,1,1
270,5009131,0,0,1,2,43.11506849,1.183561644,0,18,1,1,1
271,5009133,0,1,4,4,59.37808219,-1000.665753,0,18,1,1,0
272,5009134,0,1,4,4,59.37808219,-1000.665753,0,18,1,1,0
273,5009135,0,1,4,4,59.37808219,-1000.665753,0,18,1,1,0
274,5009136,0,1,4,4,59.37808219,-1000.665753,0,18,1,1,0
275,5009137,0,1,4,4,59.37808219,-1000.665753,0,18,1,1,0
276,5009138,0,1,4,4,59.37808219,-1000.665753,0,18,1,1,0
277,5009139,0,1,4,4,59.37808219,-1000.665753,0,18,1,0,0
278,5009140,0,1,4,4,59.37808219,-1000.665753,0,18,1,1,0
279,5009141,0,0,4,0,26.45753425,4.273972603,0,10,2,1,4
280,5009142,0,0,4,0,26.45753425,4.273972603,0,10,2,1,4
281,5009143,1,0,4,0,50.10684932,-1000.665753,0,18,2,1,0
282,5009144,1,0,4,0,50.10684932,-1000.665753,0,18,2,1,0
283,5009145,1,0,1,1,43.35616438,10.19178082,0,10,2,1,10
284,5009146,1,0,1,1,43.35616438,10.19178082,0,10,2,1,10
285,5009147,1,0,1,1,43.35616438,10.19178082,0,10,2,1,10
286,5009149,1,0,1,1,43.35616438,10.19178082,0,10,2,1,10
287,5009150,1,0,1,1,43.35616438,10.19178082,0,10,2,1,10
288,5009151,0,0,4,1,53.63013699,7.947945205,0,14,2,1,8
289,5009152,0,0,4,1,53.63013699,7.947945205,0,14,2,1,8
290,5009153,0,0,4,1,53.63013699,7.947945205,0,14,2,1,8
291,5009154,0,0,4,1,53.63013699,7.947945205,0,14,2,1,8
292,5009155,0,0,4,1,53.63013699,7.947945205,0,14,2,1,8
293,5009156,0,0,4,1,53.63013699,7.947945205,0,14,2,1,8
294,5009157,0,0,4,1,53.63013699,7.947945205,0,14,2,1,8
295,5009158,0,0,4,1,53.63013699,7.947945205,0,14,2,1,8
296,5009159,0,0,4,1,53.63013699,7.947945205,0,14,2,1,8
297,5009160,0,0,4,1,53.63013699,7.947945205,0,14,2,1,8
298,5009161,0,0,4,1,53.63013699,7.947945205,0,14,2,1,8
299,5009162,0,0,4,1,53.63013699,7.947945205,0,14,2,1,8
300,5009163,0,0,4,1,35.38356164,8.695890411,0,14,2,0,9
301,5009164,0,0,4,1,35.38356164,8.695890411,0,14,2,1,9
302,5009165,0,0,4,1,35.38356164,8.695890411,0,14,2,1,9
303,5009166,0,0,4,1,35.38356164,8.695890411,0,14,2,0,9
304,5009168,0,0,4,1,35.38356164,8.695890411,0,14,2,1,9
305,5009170,1,0,4,1,62.67671233,-1000.665753,1,18,2,1,0
306,5009177,1,0,2,1,50.20547945,3.44109589,0,8,2,1,3
307,5009178,1,0,2,1,50.20547945,3.44109589,0,8,2,0,3
308,5009179,1,0,2,1,50.20547945,3.44109589,0,8,2,1,3
309,5009180,1,0,2,1,50.20547945,3.44109589,0,8,2,0,3
310,5009181,1,0,2,1,50.20547945,3.44109589,0,8,2,1,3
311,5009182,1,0,2,1,50.20547945,3.44109589,0,8,2,1,3
312,5009183,1,0,2,1,50.20547945,3.44109589,0,8,2,1,3
313,5009186,0,0,1,1,48.14520548,15.86849315,0,10,2,0,16
314,5009187,0,0,1,1,48.14520548,15.86849315,0,10,2,0,16
315,5009188,0,0,1,1,48.14520548,15.86849315,0,10,2,1,16
316,5009189,0,0,1,1,48.14520548,15.86849315,0,10,2,1,16
317,5009190,0,0,1,1,48.14520548,15.86849315,0,10,2,1,16
318,5009191,0,0,1,1,48.14520548,15.86849315,0,10,2,1,16
319,5009192,0,0,1,1,48.14520548,15.86849315,0,10,2,1,16
320,5009193,0,0,1,1,48.14520548,15.86849315,0,10,2,1,16
321,5009195,0,0,4,1,57.40547945,23.79178082,0,0,2,1,24
322,5009196,0,0,4,1,57.40547945,23.79178082,0,0,2,1,24
323,5009198,0,0,4,1,57.40547945,23.79178082,0,0,2,1,24
324,5009201,0,0,4,1,57.40547945,23.79178082,0,0,2,1,24
325,5009202,0,0,4,1,57.40547945,23.79178082,0,0,2,0,24
326,5009203,0,0,4,1,57.40547945,23.79178082,0,0,2,1,24
327,5009204,0,0,4,1,57.40547945,23.79178082,0,0,2,0,24
328,5009205,0,0,4,1,57.40547945,23.79178082,0,0,2,1,24
329,5009206,0,0,4,1,57.40547945,23.79178082,0,0,2,1,24
330,5009207,0,0,4,1,57.40547945,23.79178082,0,0,2,0,24
331,5009208,0,0,4,1,57.40547945,23.79178082,0,0,2,1,24
332,5009209,0,0,4,1,57.40547945,23.79178082,0,0,2,0,24
333,5009210,0,0,4,1,57.40547945,23.79178082,0,0,2,1,24
334,5009213,0,0,1,1,33.7890411,2.356164384,0,0,2,1,2
335,5009215,0,0,1,1,33.7890411,2.356164384,0,0,2,1,2
336,5009216,0,0,1,1,33.7890411,2.356164384,0,0,2,1,2
337,5009217,0,0,1,1,33.7890411,2.356164384,0,0,2,0,2
338,5009220,1,0,4,1,40.18356164,2.18630137,0,10,2,1,2
339,5009222,1,0,4,1,40.18356164,2.18630137,0,10,2,1,2
340,5009223,1,0,4,1,40.18356164,2.18630137,0,10,2,1,2
341,5009224,1,0,4,1,40.18356164,2.18630137,0,10,2,1,2
342,5009225,1,0,4,1,40.18356164,2.18630137,0,10,2,1,2
343,5009226,1,0,4,1,40.18356164,2.18630137,0,10,2,0,2
344,5009227,1,0,4,1,40.18356164,2.18630137,0,10,2,0,2
345,5009232,1,0,4,1,40.18356164,2.18630137,0,10,2,1,2
346,5009233,1,0,4,1,40.18356164,2.18630137,0,10,2,1,2
347,5009234,1,0,4,1,40.18356164,2.18630137,0,10,2,1,2
348,5009236,1,0,4,1,40.18356164,2.18630137,0,10,2,0,2
349,5009238,1,0,2,1,29.07123288,2.690410959,0,4,2,1,3
350,5009239,1,0,2,1,29.07123288,2.690410959,0,4,2,1,3
351,5009240,1,0,2,1,29.07123288,2.690410959,0,4,2,1,3
352,5009241,1,0,2,1,29.07123288,2.690410959,0,4,2,1,3
353,5009242,0,0,1,2,52.27945205,14.36438356,0,3,1,1,14
354,5009243,0,0,1,2,52.27945205,14.36438356,0,3,1,1,14
355,5009244,0,0,1,2,52.27945205,14.36438356,0,3,1,1,14
356,5009246,0,0,4,1,38.90684932,5.860273973,0,18,2,1,6
357,5009247,0,0,4,1,38.90684932,5.860273973,0,18,2,1,6
358,5009248,0,0,4,1,38.90684932,5.860273973,0,18,2,1,6
359,5009249,1,0,4,1,27.27945205,2.523287671,0,4,3,1,3
360,5009250,1,0,4,1,27.27945205,2.523287671,0,4,3,1,3
361,5009251,1,0,4,1,27.27945205,2.523287671,0,4,3,1,3
362,5009252,1,0,4,1,27.27945205,2.523287671,0,4,3,1,3
363,5009253,1,0,4,1,27.27945205,2.523287671,0,4,3,1,3
364,5009255,0,0,4,3,43.75342466,24.62191781,0,1,1,0,25
365,5009257,0,0,4,3,43.75342466,24.62191781,0,1,1,1,25
366,5009258,0,0,4,3,43.75342466,24.62191781,0,1,1,1,25
367,5009260,0,0,1,1,39.89589041,3.526027397,0,3,2,1,4
368,5009261,0,0,1,1,39.89589041,3.526027397,0,3,2,1,4
369,5009262,0,0,1,1,39.89589041,3.526027397,0,3,2,1,4
370,5009263,0,0,1,1,39.89589041,3.526027397,0,3,2,1,4
371,5009264,0,0,4,3,57.78356164,-1000.665753,0,18,1,1,0
372,5009265,1,0,1,1,28.1260274,4.526027397,0,10,2,1,5
373,5009266,1,0,1,1,28.1260274,4.526027397,0,10,2,1,5
374,5009267,1,0,1,1,28.1260274,4.526027397,0,10,2,1,5
375,5009268,1,0,1,1,28.1260274,4.526027397,0,10,2,1,5
376,5009269,1,0,1,1,28.1260274,4.526027397,0,10,2,1,5
377,5009270,0,0,4,1,40.49589041,6.693150685,0,8,2,0,7
378,5009271,0,0,4,1,40.49589041,6.693150685,0,8,2,1,7
379,5009272,0,0,4,1,40.49589041,6.693150685,0,8,2,1,7
